dia,turno,tms_x_turno,dosificacion_acido_x_dia_kg_tms,flujo_sx_hg,flujo_sx_lg,flujo_lix_hg,flujo_lix_lg,ph_pls_hg,ph_pls_lg
2025-01-13,B,11913.05373143593,39.40281802122678,863.0518391927084,881.2564290364584,1089.913330078125,938.2394205729166,1.25,1.409999966621399
2025-01-14,A,12313.001159029129,,865.3505045572916,882.7303873697916,1113.3841959635417,927.963134765625,1.2599999904632568,1.4199999570846558
2025-01-14,B,16354.716926745306,33.468656177280835,891.566162109375,883.2030436197916,1109.5126953125,945.4715169270834,1.2599999904632568,1.399999976158142
2025-01-15,A,17423.88515234375,,899.4400227864584,884.318115234375,1126.4713541666667,901.1896158854166,1.2699999809265137,1.3899999856948853
2025-01-15,B,17312.3752375,33.24796587308156,845.6385091145834,873.1812337239584,1168.1424153645833,947.1062825520834,1.2699999809265137,1.3899999856948853
2025-01-16,A,10012.40620539077,,841.8816731770834,873.923095703125,1126.4881184895833,933.2884114583334,1.309999942779541,1.4299999475479126
2025-01-16,B,17455.67354656264,36.57154082380151,839.9611002604166,874.53173828125,1097.5769856770833,933.8016764322916,1.309999942779541,1.4299999475479126
2025-01-17,A,16985.081526761587,,840.4613444010416,875.1353352864584,1066.306640625,940.1011555989584,1.309999942779541,1.399999976158142
2025-01-17,B,16886.19819216332,34.32701715578713,839.3267415364584,875.9462890625,1058.5177408854167,939.5169270833334,1.340000033378601,1.399999976158142
2025-01-18,A,16521.429895259484,,839.1083984375,876.9918619791666,1026.5862630208333,939.4650065104166,1.309999942779541,1.3700000047683716
2025-01-18,B,16920.433625744176,34.76779932642656,836.09814453125,875.6966959635416,979.2035319010416,891.3740234375,1.3200000524520874,1.399999976158142
2025-01-19,A,17307.927861264452,,837.2030436197916,871.996337890625,1041.5948079427083,914.7216796875,1.399999976158142,1.399999976158142
2025-01-19,B,15201.54817806226,36.587793619347245,835.36328125,870.298095703125,920.2688802083334,915.8346354166666,1.3799999952316284,1.399999976158142
2025-01-20,A,15930.30032499419,,835.8146158854166,870.5225423177084,1143.1825358072917,935.2267252604166,1.3200000524520874,1.409999966621399
2025-01-20,B,15264.121784023475,35.995858364544006,834.3977864583334,869.0748697916666,1078.623291015625,925.5914713541666,1.3200000524520874,1.4500000476837158
2025-01-21,A,17378.25509046332,,839.673583984375,868.9051920572916,1166.4955240885417,950.3655598958334,1.2899999618530273,1.4299999475479126
2025-01-21,B,18323.52931965087,35.59756889837934,846.1961263020834,869.7860514322916,1169.58447265625,929.440673828125,1.2899999618530273,1.3600000143051147
2025-01-22,A,15146.438851831648,,846.9798990885416,871.58642578125,1111.5186360677083,940.8648274739584,1.350000023841858,1.4700000286102295
2025-01-22,B,18548.42722689234,38.683637945159646,845.3089192708334,871.7488606770834,1130.9322916666667,930.2394205729166,1.3300000429153442,1.4700000286102295
2025-01-23,A,15629.607777194393,,835.390869140625,875.1542154947916,1066.0863444010417,916.5635579427084,1.3600000143051147,1.4600000381469727
2025-01-23,B,17396.300257095412,38.39288835551517,839.308349609375,874.8203125,1049.0804036458333,919.1392415364584,1.3799999952316284,1.440000057220459
2025-01-24,A,18112.38196020161,,835.3343098958334,875.3594563802084,1025.032470703125,958.5806477864584,1.409999966621399,1.5299999713897705
2025-01-24,B,17873.26669752172,36.88553769379174,821.562255859375,876.485107421875,1097.2242838541667,961.6663411458334,1.350000023841858,1.3799999952316284
2025-01-25,A,14722.890863397455,,767.8991388467787,852.8094383181442,592.491455078125,367.21435546875,1.350000023841858,1.3799999952316284
2025-01-25,B,16357.632949617433,39.370958075281585,824.5221737552578,829.4073172377176,1070.2508951822917,744.8314615885416,1.3899999856948853,1.4600000381469727
2025-01-26,A,462.26819640341915,,845.10400390625,850.8069661458334,641.94384765625,931.3701985677084,1.3899999856948853,1.4900000095367432
2025-01-26,B,15679.71746441136,47.045017630233026,825.6998697916666,851.8438313802084,1085.92333984375,948.93408203125,1.3600000143051147,1.5
2025-01-27,A,17700.860189464238,,860.67041015625,854.5292154947916,1126.762451171875,933.3806966145834,1.350000023841858,1.5
2025-01-27,B,18007.765500809004,36.29907270144738,862.4771321614584,870.0301920572916,1094.2881673177083,935.646240234375,1.2799999713897705,1.399999976158142
2025-01-28,A,18122.64809503171,,863.35400390625,870.7910970052084,1143.96484375,906.7847493489584,1.2899999618530273,1.4299999475479126
