codigo_de_batea,ano,ciclo,n_batea,fecha_rebose,inicio_de_carga,fin_de_carga,tms,horas_de_lixiviacion,cut_pct,cusac_pct,pctc,fet_pct,indice_solubilidad,pctrec_cusac,p80_mm,pcthumedad_inicial,tiempo_de_lixiviacion_h,ratio_de_curado_kg_tn,pctoxi_2,pctoxi_3,pctoxi_3m,pctoxi_4,pctoxi_4m
25-C1-B13-Ene,2025,1,Batea 13,2025-01-06 11:30:00,2025-01-05 19:49:00.000,2025-01-06 06:22:00.000,15238.586268156301,103.47777557373047,0.46005608974358975,0.3828325320512821,0.564701866,11.874078525641027,83.21431681616303,73.72834787052726,9.132839269621712,2.5790418862274618,103.47777557373047,26.369319224824714,18.97,72.46,0.0,8.57,0.0
25-C1-B14-Ene,2025,1,Batea 14,2025-01-06 22:32:00,2025-01-06 06:22:00.000,2025-01-06 18:11:00.000,15149.017780722193,101.75499725341797,0.5243405275779377,0.4296092184368738,0.701436787185396,10.315467625899283,81.9332467816951,47.60113465882982,9.969990126942779,2.0495423462938422,101.75499725341797,26.72865159090122,33.26,58.9,0.0,7.84,0.0
25-C1-B15-Ene,2025,1,Batea 15,2025-01-07 09:00:00,2025-01-06 18:11:00.000,2025-01-07 04:51:00.000,15251.57753192854,100.31666564941406,0.5026421136909527,0.42329454253611565,0.703213041545966,10.590112089671736,84.21390309455377,43.3188117413505,9.51982527054061,2.0199310553222456,100.31666564941406,27.06837250344444,40.94,59.06,0.0,0.0,0.0
25-C2-B02-Ene,2025,2,Batea 02,2025-01-07 21:07:00,2025-01-07 04:51:00.000,2025-01-07 16:37:00.000,14940.358805351776,101.04083251953125,0.556657337065174,0.46069277108433737,0.540296106421448,10.746181527389044,82.76056748182214,53.109116466460414,9.44459155936659,1.6045916402016762,101.04083251953125,27.26202236745461,39.88,58.53,0.0,1.59,0.0
25-C2-B03-Ene,2025,2,Batea 03,2025-01-08 06:07:00,2025-01-07 16:37:00.000,2025-01-08 02:51:00.000,15310.40735026073,107.65860748291016,0.5499400239904038,0.45503999999999994,0.546638008526243,10.821151539384246,82.74356841646066,72.55386313384703,9.088560339771018,1.5534506799078596,107.65860748291016,27.493131448284544,44.24,44.19,0.0,11.57,0.0
25-C2-B04-Ene,2025,2,Batea 04,2025-01-08 23:50:00,2025-01-08 02:51:00.000,2025-01-08 21:26:00.000,15141.154962767709,95.08916473388672,0.49911858974358975,0.42952905811623243,0.596518611763423,10.158533653846153,86.05751557698798,66.02017661666024,8.805783499197682,1.218978583196046,95.08916473388672,26.33993032243961,61.55,38.45,0.0,0.0,0.0
25-C2-B05-Ene,2025,2,Batea 05,2025-01-09 13:06:00,2025-01-08 21:26:00.000,2025-01-09 08:17:00.000,15181.831436855828,93.6802749633789,0.5191830196235483,0.4215627498001599,0.516683507052448,9.467521025230276,81.19733001010484,64.75721102615759,9.066116134083616,1.5700762651982163,93.6802749633789,25.320420896668526,28.04,71.96,0.0,0.0,0.0
25-C2-B06-Ene,2025,2,Batea 06,2025-01-09 22:37:00,2025-01-09 08:17:00.000,2025-01-09 18:12:00.000,14999.037527836366,98.70805358886719,0.5912574850299401,0.4979266826923077,0.493851733582719,9.839481037924152,84.21486328703199,83.31851157141872,9.798248632002021,1.890126060724972,98.70805358886719,28.276389853870956,41.39,58.61,0.0,0.0,0.0
25-C2-B07-Ene,2025,2,Batea 07,2025-01-10 08:18:00,2025-01-09 18:12:00.000,2025-01-10 04:20:00.000,15145.1214169117,99.11083221435547,0.661689351481185,0.5333666533386645,0.550532154092823,10.285308246597278,80.60680622179103,67.52116042461391,8.72942449735193,2.0367308091093257,99.11083221435547,28.026744399594143,41.93,58.07,0.0,0.0,0.0
25-C2-B09-Ene,2025,2,Batea 09,2025-01-10 19:56:00,2025-01-10 04:20:00.000,2025-01-10 14:20:00.000,14927.493608973522,100.01444244384766,0.715686274509804,0.5813851080864691,0.652475528848864,9.717446978791518,81.2346315408491,79.11049476301997,9.446951495330199,1.5466718838311377,100.01444244384766,28.231359536573414,45.28,54.72,0.0,0.0,0.0
25-C2-B10-Ene,2025,2,Batea 10,2025-01-11 05:25:00,2025-01-10 14:20:00.000,2025-01-11 01:11:00.000,15315.299916995578,103.38055419921875,0.6244995996797438,0.502963556267521,0.556898024070084,9.910608486789432,80.53865151001715,60.18386523165217,9.553664455918083,1.5093252926329341,103.38055419921875,28.12290170766889,45.61,54.39,0.0,0.0,0.0
